Brightness Level,Power Consumed
1.000000000000000000e+00,7.028104691935327608e+00
1.045226130653266416e+00,4.256110987528113121e+00
1.090452261306532611e+00,5.371114512692678034e+00
1.135678391959799027e+00,7.855312319465515003e+00
1.180904522613065222e+00,7.070574680837800052e+00
1.226130653266331638e+00,1.344881123154175295e+00
1.271356783919598055e+00,5.165637303221174648e+00
1.316582914572864471e+00,2.930815039731464289e+00
1.361809045226130666e+00,2.997206143790475785e+00
1.407035175879396860e+00,3.997000645198933277e+00
1.452261306532663276e+00,3.438095980482408720e+00
1.497487437185929693e+00,6.034806451818932160e+00
1.542713567839196109e+00,4.626630890813165919e+00
1.587939698492462304e+00,3.328246879024898242e+00
1.633165829145728720e+00,3.955010119944021962e+00
1.678391959798994915e+00,3.719064520509499427e+00
1.723618090452261331e+00,6.026351626277839379e+00
1.768844221105527748e+00,2.616399969526553182e+00
1.814070351758793942e+00,3.643420320349351815e+00
1.859296482412060358e+00,1.301707261327360143e+00
1.904522613065326553e+00,-2.101421665960220508e+00
1.949748743718592969e+00,4.308499785259650494e+00
1.994974874371859386e+00,4.728885023662800613e+00
2.040201005025125802e+00,1.516478019589631243e+00
2.085427135678392219e+00,7.543158145730322062e+00
2.130653266331658635e+00,9.980378880403595332e-02
2.175879396984924607e+00,3.106983815744782440e+00
2.221105527638191024e+00,2.650076127124414427e+00
2.266331658291457440e+00,6.101024704821053746e+00
2.311557788944723413e+00,5.987251667726631865e+00
2.356783919597989829e+00,3.373542234035685095e+00
2.402010050251256246e+00,3.837131079455855964e+00
2.447236180904522662e+00,1.324438605494806076e+00
2.492462311557789079e+00,-8.403333722954333673e-01
2.537688442211055495e+00,2.448730131791370557e+00
2.582914572864321912e+00,3.482592637836757543e+00
2.628140703517587884e+00,5.657861733163226603e+00
2.673366834170854300e+00,5.631471144249461602e+00
2.718592964824120717e+00,2.483534289731455402e+00
2.763819095477386689e+00,2.687104304157275525e+00
2.809045226130653106e+00,1.230171158828214484e+00
2.854271356783919522e+00,5.248539011527690867e-01
2.899497487437185939e+00,-7.992516297120388913e-03
2.944723618090452355e+00,7.347802147752537039e+00
2.989949748743718771e+00,2.470695889015569247e+00
3.035175879396985188e+00,2.659645947420287815e+00
3.080402010050251160e+00,1.078043531560458845e+00
3.125628140703517577e+00,5.188500067235648494e+00
3.170854271356783993e+00,4.576541672613094747e-01
3.216080402010050410e+00,3.313945211648525735e+00
3.261306532663316826e+00,2.004513962282227890e+00
3.306532663316582799e+00,4.627318795875085655e+00
3.351758793969849215e+00,2.892015643399663993e+00
3.396984924623115631e+00,1.614519071567301900e+00
3.442211055276382048e+00,3.983621907303398046e+00
3.487437185929648464e+00,4.962898432103990842e+00
3.532663316582914881e+00,4.307562865765806492e+00
3.577889447236180853e+00,4.849811349329212540e+00
3.623115577889447270e+00,3.048607902231769806e+00
3.668341708542713686e+00,3.666199696257334217e+00
3.713567839195980103e+00,3.123236474211488201e+00
3.758793969849246519e+00,3.827571791107953203e+00
3.804020100502512491e+00,3.000951697419639075e+00
3.849246231155778908e+00,1.257290607058572540e+00
3.894472361809045324e+00,5.149365049336676492e+00
3.939698492462311741e+00,4.077653248413758647e+00
3.984924623115578157e+00,1.709566185793171211e+00
4.030150753768843686e+00,5.986320552565650210e+00
4.075376884422110990e+00,3.338997877430329275e+00
4.120603015075376518e+00,5.352369365365666098e+00
4.165829145728643823e+00,6.803589068598906664e+00
4.211055276381909351e+00,5.702348539122962023e+00
4.256281407035175768e+00,7.824204262952918043e+00
4.301507537688442184e+00,3.178816832311052831e+00
4.346733668341708601e+00,6.558262737419363830e+00
4.391959798994975017e+00,4.491115658123415066e+00
4.437185929648241434e+00,4.228343329473918999e+00
4.482412060301507850e+00,4.923485489036358409e+00
4.527638190954773378e+00,5.571372347931814240e+00
4.572864321608040683e+00,6.422146093161292590e+00
4.618090452261306211e+00,4.096899126544192526e+00
4.663316582914573516e+00,8.348280584322253617e+00
4.708542713567839044e+00,7.599426695071636928e+00
4.753768844221105461e+00,3.719134051146974151e+00
4.798994974874371877e+00,9.893690822277193320e+00
4.844221105527638294e+00,1.083657520062559776e+01
4.889447236180904710e+00,9.532011807656035174e+00
4.934673366834171127e+00,6.946304213378202697e+00
4.979899497487437543e+00,5.298395264541856164e+00
5.025125628140703959e+00,9.684595986879118712e+00
5.070351758793970376e+00,6.907176067418254739e+00
5.115577889447235904e+00,1.029830293337110092e+01
5.160804020100502321e+00,8.411890982895469548e+00
5.206030150753768737e+00,1.009259273673854196e+01
5.251256281407035154e+00,8.998066498043154837e+00
5.296482412060301570e+00,9.846544482895348338e+00
5.341708542713567986e+00,8.604508033664059141e+00
5.386934673366834403e+00,1.230740422863892292e+01
5.432160804020100819e+00,9.143688077733191477e+00
5.477386934673367236e+00,9.850088673607920953e+00
5.522613065326633652e+00,1.297070279811745941e+01
5.567839195979900069e+00,6.669220141900357390e+00
5.613065326633165597e+00,6.986150530287943639e+00
5.658291457286432014e+00,1.163034160954346419e+01
5.703517587939698430e+00,7.511774451861021440e+00
5.748743718592964846e+00,1.391378210514368874e+01
5.793969849246231263e+00,9.369865646975240381e+00
5.839195979899497679e+00,8.874803263156715971e+00
5.884422110552764096e+00,1.439025161943636633e+01
5.929648241206030512e+00,1.368209723267567313e+01
5.974874371859296929e+00,1.463493105688506013e+01
6.020100502512563345e+00,1.289269334170165138e+01
6.065326633165829762e+00,9.540988947054303893e+00
6.110552763819095290e+00,1.526845191826846992e+01
6.155778894472361706e+00,1.109924236796820374e+01
6.201005025125628123e+00,1.342913440215817822e+01
6.246231155778894539e+00,1.390974344970117826e+01
6.291457286432160956e+00,1.189828263445417456e+01
6.336683417085427372e+00,1.363157027070403160e+01
6.381909547738693789e+00,1.444497898541481540e+01
6.427135678391960205e+00,1.355261621975678032e+01
6.472361809045226622e+00,1.080220849433475649e+01
6.517587939698493038e+00,1.380077674486674866e+01
6.562814070351758566e+00,1.606240791367405052e+01
6.608040201005024983e+00,1.222788152757648383e+01
6.653266331658291399e+00,1.352717469601696365e+01
6.698492462311557816e+00,1.316760860575598535e+01
6.743718592964824232e+00,1.794996050157877221e+01
6.788944723618090649e+00,1.581158529695964532e+01
6.834170854271357065e+00,1.549952759662555124e+01
6.879396984924623482e+00,1.336442531935512079e+01
6.924623115577889898e+00,1.620445479782567588e+01
6.969849246231156314e+00,1.400103544381744669e+01
7.015075376884422731e+00,1.563915163446491974e+01
7.060301507537688259e+00,1.453163351683633842e+01
7.105527638190954676e+00,1.738607282205885340e+01
7.150753768844221092e+00,1.741831382686135399e+01
7.195979899497487509e+00,1.608250604683497187e+01
7.241206030150753925e+00,1.752713375056760015e+01
7.286432160804020342e+00,1.478705947793052289e+01
7.331658291457286758e+00,1.423077488302140914e+01
7.376884422110553174e+00,1.833422644689664338e+01
7.422110552763819591e+00,1.803298841394144603e+01
7.467336683417086007e+00,1.921594807870328481e+01
7.512562814070351536e+00,2.296046393926350149e+01
7.557788944723617952e+00,2.033346795102686144e+01
7.603015075376884369e+00,1.687124451656200108e+01
7.648241206030150785e+00,2.118534693694017434e+01
7.693467336683417201e+00,1.657597033591743951e+01
7.738693467336683618e+00,1.854313214639694607e+01
7.783919597989950034e+00,1.959037974735684884e+01
7.829145728643216451e+00,2.341615540617845781e+01
7.874371859296482867e+00,1.876461272655032886e+01
7.919597989949749284e+00,1.886794310399053032e+01
7.964824120603015700e+00,2.059265834601290379e+01
8.010050251256281229e+00,1.973339543858863010e+01
8.055276381909546757e+00,2.358645787486880252e+01
8.100502512562814061e+00,1.944820243616576150e+01
8.145728643216081366e+00,1.959005297320108241e+01
8.190954773869346894e+00,2.128832041655896035e+01
8.236180904522612423e+00,2.144891123558162249e+01
8.281407035175879727e+00,2.658710127841249005e+01
8.326633165829147032e+00,2.491198522133618809e+01
8.371859296482412560e+00,2.347539792985505258e+01
8.417085427135678088e+00,2.113862165191820708e+01
8.462311557788945393e+00,2.556946128776938565e+01
8.507537688442210921e+00,2.217359268846876574e+01
8.552763819095478226e+00,2.137981464086815464e+01
8.597989949748743754e+00,2.714279527319731855e+01
8.643216080402009283e+00,2.570004516930561422e+01
8.688442211055276587e+00,2.720934725287463252e+01
8.733668341708543892e+00,2.630859997394998828e+01
8.778894472361809420e+00,2.769036635751412945e+01
8.824120603015074948e+00,2.498225981564711873e+01
8.869346733668342253e+00,2.452547659011102965e+01
8.914572864321609558e+00,2.826884798456963210e+01
8.959798994974875086e+00,2.561258169687895503e+01
9.005025125628140614e+00,2.615608894984037747e+01
9.050251256281407919e+00,2.694195638131409609e+01
9.095477386934673447e+00,2.820785799230075952e+01
9.140703517587940752e+00,2.778683554053942473e+01
9.185929648241206280e+00,2.606888986789995499e+01
9.231155778894471808e+00,2.785757014365367823e+01
9.276381909547739113e+00,2.502606054234794897e+01
9.321608040201004641e+00,3.105343504922237230e+01
9.366834170854271946e+00,2.693100753921958201e+01
9.412060301507537474e+00,2.826055227773510481e+01
9.457286432160804779e+00,3.090989062416676347e+01
9.502512562814070307e+00,2.966472138480884624e+01
9.547738693467337612e+00,3.457020888324548480e+01
9.592964824120603140e+00,2.924084359071951056e+01
9.638190954773870445e+00,3.270508226949304742e+01
9.683417085427135973e+00,3.243888341786182394e+01
9.728643216080401501e+00,3.052977598525041003e+01
9.773869346733668806e+00,3.426307563110618304e+01
9.819095477386934334e+00,3.322603437980190932e+01
9.864321608040201639e+00,3.546735827977133937e+01
9.909547738693467167e+00,3.592748102326292781e+01
9.954773869346734472e+00,3.896568555478219054e+01
1.000000000000000000e+01,3.767305589887278217e+01
